Freq [GHz],"dB(S(1,1))","dB(S(2,2))","dB(S(3,3))","dB(S(4,4))"
5.3,-34.2848468,-14.72124428,-17.1333167,-14.93775155
5.31,-33.40999403,-14.60562034,-17.18792466,-14.86632803
5.32,-32.46977742,-14.49262923,-17.23049658,-14.79198073
5.33,-31.54096111,-14.38229541,-17.25999163,-14.71476475
5.34,-30.66240787,-14.27464977,-17.27544277,-14.63474572
5.35,-29.85059233,-14.16972957,-17.27598865,-14.55199894
5.36,-29.11042361,-14.06757849,-17.26090604,-14.46660842
5.37,-28.44139067,-13.9682465,-17.2296409,-14.37866574
5.38,-27.84075443,-13.87178972,-17.1818366,-14.28826899
5.39,-27.30512571,-13.77827002,-17.11735765,-14.19552149
5.4,-26.83120951,-13.68775456,-17.03630751,-14.10053063
5.41,-26.41612783,-13.600315,-16.93903983,-14.00340677
5.42,-26.05752892,-13.5160264,-16.82616272,-13.90426217
5.43,-25.7535839,-13.43496572,-16.69853646,-13.80321027
5.44,-25.50291472,-13.35720977,-16.55726543,-13.70036516
5.45,-25.30446618,-13.28283261,-16.40368547,-13.59584155
5.46,-25.15731341,-13.21190214,-16.23934809,-13.48975532
5.47,-25.06037993,-13.1444759,-16.06600259,-13.38222475
5.48,-25.01202395,-13.08059602,-15.88557724,-13.27337271
5.49,-25.00943443,-13.02028329,-15.70015958,-13.16332983
5.5,-25.04776616,-12.9635304,-15.51197583,-13.05223879
5.51,-25.11895457,-12.91029489,-15.32336829,-12.94025984
5.52,-25.2102227,-12.86049199,-15.1367691,-12.8275774
5.53,-25.30249723,-12.81398843,-14.95466853,-12.71440754
5.54,-25.36936374,-12.77059802,-14.77957541,-12.60100594
5.55,-25.3777735,-12.73008033,-14.61396825,-12.48767567
5.56,-25.29202149,-12.69214393,-14.46023576,-12.37477405
5.57,-25.08156978,-12.65645501,-14.32060764,-12.26271736
5.58,-24.73050475,-12.62265236,-14.19707782,-12.15198264
5.59,-24.24360714,-12.59036811,-14.09132469,-12.04310539
5.6,-23.6449308,-12.55925309,-14.00463491,-11.93667252
5.61,-22.96981544,-12.52900409,-13.93783841,-11.83331052
5.62,-22.25531937,-12.49938945,-13.89126242,-11.73366901
5.63,-21.53343152,-12.47026955,-13.86471129,-11.63840093
5.64,-20.82822368,-12.44160875,-13.85747586,-11.54814086
5.65,-20.15585885,-12.4134772,-13.868373,-11.46348355
5.66,-19.5259443,-12.38604233,-13.89581213,-11.38496442
5.67,-18.94319483,-12.35955191,-13.93788213,-11.31304395
5.68,-18.40891947,-12.33431135,-13.99245055,-11.248097
5.69,-17.92218645,-12.31065896,-14.05726595,-11.19040746
5.7,-17.480676,-12.28894202,-14.13005535,-11.14016825
5.71,-17.08128098,-12.26949622,-14.20861038,-11.09748564
5.72,-16.72051971,-12.25262983,-14.29085789,-11.06238706
5.73,-16.39481502,-12.23861287,-14.37491304,-11.03483106
5.74,-16.10068008,-12.22767106,-14.45911482,-11.01471827
5.75,-15.8348397,-12.21998373,-14.54204537,-11.00190241
5.76,-15.59430653,-12.21568473,-14.62253538,-10.99620068
5.77,-15.37642416,-12.21486541,-14.69965816,-10.99740296
5.78,-15.17888421,-12.21757878,-14.77271535,-11.00527971
5.79,-14.99972184,-12.22384426,-14.84121675,-11.01958846
5.8,-14.83729244,-12.23365255,-14.90485665,-11.04007896
5.81,-14.69023352,-12.24697035,-14.96348853,-11.0664972
5.82,-14.55741625,-12.26374455,-15.01709965,-11.0985884
5.83,-14.43789278,-12.28390617,-15.06578661,-11.13609928
5.84,-14.33084514,-12.30737365,-15.10973274,-11.17877967
5.85,-14.23554104,-12.33405575,-15.14918768,-11.22638366
5.86,-14.15129976,-12.36385405,-15.18444948,-11.27867044
5.87,-14.07746917,-12.39666498,-15.21584922,-11.33540488
5.88,-14.01341317,-12.43238166,-15.24373812,-11.396358
5.89,-13.95850728,-12.47089529,-15.26847703,-11.46130724
5.9,-13.91213975,-12.51209649,-15.2904279,-11.53003673
5.91,-13.87371589,-12.55587632,-15.3099472,-11.60233749
5.92,-13.84266333,-12.60212716,-15.32738098,-11.67800758
5.93,-13.81843717,-12.65074347,-15.34306116,-11.75685223
5.94,-13.80052394,-12.70162242,-15.35730312,-11.83868395
5.95,-13.7884443,-12.75466446,-15.37040406,-11.92332257
5.96,-13.78175439,-12.80977371,-15.38264223,-12.01059534
5.97,-13.78004597,-12.86685835,-15.39427664,-12.10033695
5.98,-13.78294563,-12.92583095,-15.40554732,-12.19238949
5.99,-13.79011336,-12.98660868,-15.41667577,-12.28660247
6,-13.80124069,-13.04911353,-15.42786583,-12.38283274
6.01,-13.81604849,-13.11327244,-15.43930457,-12.48094443
6.02,-13.8342848,-13.17901741,-15.45116334,-12.58080883
6.03,-13.85572256,-13.24628558,-15.46359889,-12.68230425
6.04,-13.8801575,-13.31501924,-15.47675449,-12.78531595
6.05,-13.90740604,-13.38516586,-15.49076109,-12.88973587
6.06,-13.93730348,-13.45667804,-15.50573836,-12.99546252
6.07,-13.96970226,-13.5295135,-15.52179581,-13.10240077
6.08,-14.00447036,-13.60363497,-15.53903377,-13.21046166
6.09,-14.04148996,-13.67901017,-15.55754435,-13.31956213
6.1,-14.08065613,-13.75561165,-15.57741237,-13.42962489
6.11,-14.12187575,-13.83341673,-15.59871615,-13.54057811
6.12,-14.16506647,-13.91240735,-15.62152834,-13.65235527
6.13,-14.21015589,-13.99256998,-15.64591663,-13.76489487
6.14,-14.2570807,-14.07389547,-15.67194441,-13.87814026
6.15,-14.30578607,-14.15637895,-15.69967138,-13.99203939
6.16,-14.35622497,-14.24001966,-15.72915415,-14.1065446
6.17,-14.40835767,-14.32482085,-15.76044672,-14.22161241
6.18,-14.46215124,-14.41078966,-15.79360098,-14.33720331
6.19,-14.51757914,-14.49793698,-15.82866717,-14.45328159
6.2,-14.57462087,-14.58627738,-15.86569425,-14.5698151
6.21,-14.63326158,-14.67582893,-15.90473025,-14.68677508
6.22,-14.69349187,-14.76661318,-15.94582269,-14.80413604
6.23,-14.75530745,-14.85865501,-15.98901881,-14.9218755
6.24,-14.81870901,-14.9519826,-16.03436591,-15.0399739
6.25,-14.88370193,-15.04662732,-16.0819116,-15.15841442
6.26,-14.95029619,-15.1426237,-16.13170402,-15.27718285
6.27,-15.0185062,-15.24000938,-16.18379213,-15.39626744
6.28,-15.08835068,-15.33882504,-16.23822588,-15.51565878
6.29,-15.15985252,-15.43911446,-16.2950564,-15.63534968
6.3,-15.23303876,-15.54092443,-16.35433623,-15.75533507
6.31,-15.30794047,-15.64430479,-16.41611947,-15.87561188
6.32,-15.38459271,-15.74930849,-16.48046192,-15.99617895
6.33,-15.46303448,-15.85599154,-16.54742133,-16.11703695
6.34,-15.54330868,-15.96441315,-16.61705742,-16.23818828
6.35,-15.62546214,-16.07463575,-16.68943217,-16.35963701
6.36,-15.70954554,-16.18672508,-16.76460983,-16.48138881
6.37,-15.79561348,-16.3007503,-16.84265717,-16.60345086
6.38,-15.88372444,-16.4167841,-16.92364351,-16.72583185
6.39,-15.97394085,-16.53490287,-17.00764094,-16.84854187
6.4,-16.06632909,-16.65518681,-17.0947244,-16.97159242
6.41,-16.16095954,-16.77772015,-17.18497183,-17.09499631
6.42,-16.25790665,-16.90259134,-17.27846426,-17.21876769
6.43,-16.35724899,-17.0298933,-17.37528601,-17.34292198
6.44,-16.45906931,-17.15972362,-17.47552473,-17.46747586
6.45,-16.56345466,-17.29218489,-17.57927158,-17.59244726
6.46,-16.67049643,-17.42738501,-17.68662136,-17.71785532
6.47,-16.78029049,-17.56543752,-17.7976726,-17.84372045
6.48,-16.89293733,-17.70646198,-17.91252772,-17.97006425
6.49,-17.00854212,-17.8505844,-18.03129313,-18.09690955
6.5,-17.12721491,-17.99793772,-18.1540794,-18.22428044
6.51,-17.24907078,-18.14866228,-18.28100132,-18.35220223
6.52,-17.37422998,-18.30290643,-18.41217809,-18.48070155
6.53,-17.50281817,-18.46082714,-18.54773338,-18.60980628
6.54,-17.63496658,-18.62259069,-18.68779547,-18.73954568
6.55,-17.77081231,-18.78837343,-18.83249735,-18.86995035
6.56,-17.9104985,-18.95836265,-18.98197683,-19.00105232
6.57,-18.05417471,-19.13275752,-19.13637657,-19.13288509
6.58,-18.20199717,-19.3117701,-19.29584418,-19.26548369
6.59,-18.35412915,-19.49562659,-19.4605322,-19.39888475
6.6,-18.51074135,-19.68456855,-19.63059815,-19.53312655
6.61,-18.67201235,-19.87885446,-19.80620442,-19.66824916
6.62,-18.83812906,-20.07876127,-19.98751817,-19.80429449
6.63,-19.00928729,-20.28458633,-20.17471116,-19.9413064
6.64,-19.18569232,-20.49664946,-20.36795942,-20.07933081
6.65,-19.36755964,-20.71529532,-20.56744285,-20.21841587
6.66,-19.55511561,-20.9408961,-20.77334468,-20.35861205
6.67,-19.74859842,-21.17385461,-20.98585065,-20.49997232
6.68,-19.94825897,-21.4146078,-21.20514803,-20.64255232
6.69,-20.15436201,-21.66363077,-21.43142432,-20.78641054
6.7,-20.36718734,-21.92144149,-21.66486547,-20.93160854
6.71,-20.58703122,-22.18860613,-21.90565376,-21.07821119
6.72,-20.81420794,-22.46574542,-22.15396496,-21.22628688
6.73,-21.04905163,-22.75354191,-22.40996478,-21.37590784
6.74,-21.2919183,-23.05274865,-22.67380439,-21.52715044
6.75,-21.54318822,-23.36419936,-22.94561476,-21.68009553
6.76,-21.8032686,-23.68882054,-23.22549954,-21.83482878
6.77,-22.07259666,-24.0276459,-23.51352618,-21.99144117
6.78,-22.35164325,-24.38183378,-23.80971487,-22.15002937
6.79,-22.64091693,-24.75268819,-24.11402474,-22.31069632
6.8,-22.94096879,-25.14168448,-24.42633689,-22.47355174
6.81,-23.252398,-25.55050094,-24.74643352,-22.63871283
6.82,-23.5758583,-25.98105797,-25.07397239,-22.80630488
6.83,-23.91206567,-26.43556704,-25.40845605,-22.97646216
6.84,-24.26180725,-26.91659261,-25.74919501,-23.1493287
6.85,-24.62595194,-27.42713124,-26.09526453,-23.32505937
6.86,-25.00546301,-27.97071362,-26.44545474,-23.50382089
6.87,-25.40141309,-28.55153811,-26.79821509,-23.68579314
6.88,-25.81500211,-29.17464745,-27.15159477,-23.87117052
6.89,-26.24757897,-29.84616604,-27.50318298,-24.06016355
6.9,-26.7006677,-30.57362283,-27.85005541,-24.25300063
6.91,-27.17599928,-31.36639699,-28.18873646,-24.4499301
6.92,-27.67555052,-32.23634021,-28.51519039,-24.65122255
6.93,-28.20159174,-33.19865183,-28.82485796,-24.85717344
6.94,-28.75674544,-34.27310257,-29.11275607,-25.0681061
6.95,-29.34405863,-35.48567835,-29.37365555,-25.28437527
6.96,-29.96709187,-36.87047126,-29.60234323,-25.50637104
6.97,-30.63002811,-38.47043463,-29.79395905,-25.73452353
6.98,-31.33780381,-40.33025284,-29.94437737,-25.96930826
6.99,-32.09626128,-42.45161929,-30.05058096,-26.21125244
7,-32.91231235,-44.60116841,-30.11096368,-26.46094237
7.01,-33.79408005,-45.86228124,-30.1255018,-26.71903215
7.02,-34.75092784,-45.16173945,-30.09575742,-26.98625396
7.03,-35.79314609,-43.18300463,-30.02471285,-27.26343044
7.04,-36.93072436,-41.05639853,-29.91647189,-27.55148937
7.05,-38.16981377,-39.16418378,-29.77588698,-27.8514816
7.06,-39.50358679,-37.5416633,-29.60817668,-28.16460268
7.07,-40.8905901,-36.14891733,-29.4185856,-28.49221955
7.08,-42.2114703,-34.94122955,-29.2121185,-28.8359035
7.09,-43.21812285,-33.88209107,-28.99335854,-29.19747139
7.1,-43.58403007,-32.94356773,-28.76636408,-29.57903761
7.11,-43.1683783,-32.10448881,-28.53462906,-29.98308062
7.12,-42.17839212,-31.34869026,-28.30108938,-30.41252888
7.13,-40.93865259,-30.66367255,-28.06815865,-30.87087371
7.14,-39.66638353,-30.03963459,-27.8377801,-31.36231968
7.15,-38.45837444,-29.46878677,-27.6114846,-31.89198885
7.16,-37.34497845,-28.94486025,-27.39044867,-32.46620343
7.17,-36.32822747,-28.46275241,-27.17554832,-33.09288655
7.18,-35.39993308,-28.01826721,-26.96740681,-33.78214531
7.19,-34.54916593,-27.60792207,-26.7664357,-34.54714621
7.2,-33.7650995,-27.22880216,-26.572869,-35.40547828
7.21,-33.03796256,-26.8784487,-26.38679097,-36.38137148
7.22,-32.35925056,-26.55477199,-26.20815824,-37.50950769
7.23,-31.72166481,-26.25598257,-26.03681686,-38.84202794
7.24,-31.11896788,-25.98053578,-25.87251514,-40.46260848
7.25,-30.5458282,-25.72708605,-25.71491285,-42.51835043
7.26,-29.99768004,-25.49444854,-25.56358735,-45.30584218
7.27,-29.4706058,-25.28156582,-25.41803736,-49.57975729
7.28,-28.96124013,-25.08747815,-25.27768484,-58.50037022
7.29,-28.46669301,-24.91129611,-25.14187542,-58.10638283
7.3,-27.98448816,-24.75217421,-25.00987802,-49.06084703
7.31,-27.51251355,-24.60928488,-24.88088408,-44.54284773
7.32,-27.04898117,-24.48179177,-24.75400717,-41.49013977
7.33,-26.59239353,-24.36882179,-24.6282833,-39.1620675
7.34,-26.14151534,-24.26943525,-24.502673,-37.26604216
7.35,-25.69534858,-24.18259379,-24.37606555,-35.65656407
7.36,-25.25311014,-24.10712592,-24.24728639,-34.25075449
7.37,-24.8142112,-24.04169048,-24.11510819,-32.99694396
7.38,-24.3782378,-23.98473899,-23.97826638,-31.86077513
7.39,-23.94493242,-23.93447839,-23.83547953,-30.8182734
7.4,-23.51417626,-23.88883705,-23.68547464,-29.85207425
7.41,-23.0859724,-23.84543824,-23.52701719,-28.94922542
7.42,-22.66042977,-23.8015863,-23.3589451,-28.09983589
7.43,-22.23774796,-23.7542729,-23.1802054,-27.29620809
7.44,-21.81820314,-23.70021083,-22.98989169,-26.53225985
7.45,-21.40213494,-23.63590342,-22.78728018,-25.80312721
7.46,-20.98993454,-23.55775492,-22.57186175,-25.10488411
7.47,-20.58203384,-23.46222337,-22.34336763,-24.43433991
7.48,-20.17889574,-23.34601014,-22.10178645,-23.78889003
7.49,-19.78100556,-23.20627162,-21.84737116,-23.16640359
7.5,-19.38886334,-23.04083024,-21.58063509,-22.56513736
7.51,-19.00297708,-22.84835571,-21.30233745,-21.98366869
7.52,-18.62385673,-22.62848822,-21.01345927,-21.4208423
7.53,-18.25200881,-22.3818817,-20.71517184,-20.87572727
7.54,-17.88793159,-22.1101589,-20.40879983,-20.34758163
7.55,-17.53211071,-21.81578527,-20.0957817,-19.83582266
7.56,-17.18501507,-21.5018824,-19.77762983,-19.34000139
7.57,-16.8470931,-21.17200947,-19.45589225,-18.85978044
7.58,-16.51876917,-20.82994185,-19.13211781,-18.39491427
7.59,-16.20044021,-20.47947084,-18.80782562,-17.94523132
7.6,-15.89247255,-20.12424002,-18.48447943,-17.51061779
7.61,-15.59519893,-19.76762481,-18.16346705,-17.09100267
7.62,-15.30891579,-19.41265461,-17.8460846,-16.68634395
7.63,-15.03388079,-19.06197209,-17.5335252,-16.296616
7.64,-14.77031073,-18.71782209,-17.22687154,-15.92179802
7.65,-14.5183798,-18.38206203,-16.92709177,-15.56186374
7.66,-14.27821835,-18.05618663,-16.63503824,-15.21677247
7.67,-14.04991214,-17.74136106,-16.3514484,-14.88646143
7.68,-13.83350209,-17.43845807,-16.07694762,-14.57083962
7.69,-13.62898466,-17.14809591,-15.81205334,-14.26978325
7.7,-13.43631275,-16.87067513,-15.55718045,-13.98313269
7.71,-13.25539724,-16.60641284,-15.31264748,-13.71069095
7.72,-13.08610892,-16.35537389,-15.07868343,-13.45222367
7.73,-12.92828105,-16.11749874,-14.85543507,-13.20746043
7.74,-12.78171221,-15.89262786,-14.64297455,-12.97609726
7.75,-12.64616954,-15.68052301,-14.44130713,-12.75780009
7.76,-12.52139228,-15.48088547,-14.25037897,-12.55220907
7.77,-12.40709534,-15.29337158,-14.07008476,-12.3589433
7.78,-12.30297308,-15.11760585,-13.90027528,-12.17760601
7.79,-12.20870299,-14.95319194,-13.74076451,-12.00778971
7.8,-12.12394937,-14.79972169,-13.59133652,-11.84908133
7.81,-12.04836673,-14.65678262,-13.45175181,-11.70106703
7.82,-11.9816031,-14.5239639,-13.32175324,-11.56333672
7.83,-11.92330306,-14.40086121,-13.20107141,-11.43548792
7.84,-11.87311042,-14.28708042,-13.08942948,-11.31712925
7.85,-11.83067066,-14.18224056,-12.9865475,-11.20788315
7.86,-11.79563305,-14.0859759,-12.89214611,-11.10738815
7.87,-11.76765241,-13.99793748,-12.80594978,-11.0153004
7.88,-11.74639059,-13.9177941,-12.72768947,-10.93129478
7.89,-11.73151769,-13.84523288,-12.65710487,-10.8550654
7.9,-11.72271293,-13.77995946,-12.59394615,-10.78632566
7.91,-11.71966532,-13.72169795,-12.53797531,-10.72480796
7.92,-11.72207407,-13.67019058,-12.48896713,-10.67026298
7.93,-11.72964884,-13.62519722,-12.44670983,-10.62245875
7.94,-11.74210975,-13.58649475,-12.41100539,-10.58117947
7.95,-11.75918727,-13.55387626,-12.38166959,-10.54622415
7.96,-11.78062203,-13.52715025,-12.35853187,-10.51740514
7.97,-11.80616437,-13.50613966,-12.34143493,-10.49454663
7.98,-11.83557399,-13.49068094,-12.33023419,-10.47748304
7.99,-11.86861941,-13.48062301,-12.32479706,-10.46605747
8,-11.90507739,-13.47582628,-12.32500213,-10.46012015
8.01,-11.94473237,-13.47616154,-12.3307382,-10.45952702
8.02,-11.9873758,-13.4815089,-12.34190322,-10.46413825
8.03,-12.03280555,-13.49175679,-12.35840316,-10.47381702
8.04,-12.08082522,-13.50680079,-12.38015083,-10.48842831
8.05,-12.13124355,-13.52654261,-12.40706454,-10.5078378
8.06,-12.18387377,-13.55088903,-12.43906686,-10.53191094
8.07,-12.23853299,-13.57975078,-12.47608314,-10.56051211
8.08,-12.29504163,-13.61304151,-12.51804018,-10.59350396
8.09,-12.35322286,-13.6506767,-12.56486471,-10.63074677
8.1,-12.4129021,-13.69257264,-12.61648194,-10.672098
8.11,-12.4739065,-13.73864535,-12.672814,-10.71741196
8.12,-12.53606453,-13.78880953,-12.73377841,-10.76653954
8.13,-12.5992056,-13.84297757,-12.79928652,-10.81932802
8.14,-12.66315966,-13.90105846,-12.86924191,-10.87562104
8.15,-12.72775694,-13.96295685,-12.9435388,-10.93525855
8.16,-12.79282775,-14.02857196,-13.02206046,-10.99807692
8.17,-12.85820219,-14.09779668,-13.10467756,-11.06390899
8.18,-12.92371016,-14.17051656,-13.19124665,-11.13258431
8.19,-12.98918118,-14.24660883,-13.28160854,-11.20392926
8.2,-13.05444451,-14.32594155,-13.37558678,-11.27776734
8.21,-13.11932915,-14.40837266,-13.47298615,-11.35391938
8.22,-13.18366402,-14.49374911,-13.57359124,-11.43220385
8.23,-13.24727817,-14.58190609,-13.67716511,-11.5124371
8.24,-13.31000109,-14.6726662,-13.78344805,-11.59443368
8.25,-13.37166307,-14.76583875,-13.89215647,-11.67800666
8.26,-13.43209564,-14.86121909,-14.00298198,-11.76296787
8.27,-13.49113207,-14.95858806,-14.11559067,-11.8491283
8.28,-13.54860794,-15.05771145,-14.22962264,-11.93629835
8.29,-13.6043618,-15.15833962,-14.34469184,-12.02428822
8.3,-13.65823586,-15.26020723,-14.46038628,-12.11290818
8.31,-13.71007672,-15.36303311,-14.5762686,-12.201969
8.32,-13.75973615,-15.46652023,-14.69187714,-12.29128226
8.33,-13.80707192,-15.57035596,-14.80672757,-12.38066075
8.34,-13.85194864,-15.67421238,-14.92031504,-12.46991892
8.35,-13.89423857,-15.77774696,-15.03211694,-12.55887327
8.36,-13.93382248,-15.88060338,-15.14159643,-12.64734282
8.37,-13.97059045,-15.9824127,-15.24820651,-12.73514964
8.38,-14.00444264,-16.08279469,-15.35139486,-12.82211933
8.39,-14.03529004,-16.18135965,-15.45060925,-12.90808158
8.4,-14.0630551,-16.27771036,-15.54530361,-12.99287078
8.41,-14.08767232,-16.37144451,-15.6349445,-13.07632662
8.42,-14.10908875,-16.46215729,-15.719018,-13.15829471
8.43,-14.12726437,-16.54944446,-15.79703677,-13.23862724
8.44,-14.14217238,-16.63290552,-15.86854708,-13.31718368
8.45,-14.15379932,-16.71214729,-15.93313566,-13.3938314
8.46,-14.16214517,-16.78678756,-15.99043603,-13.46844639
8.47,-14.16722318,-16.85645892,-16.04013424,-13.54091389
8.48,-14.16905975,-16.92081265,-16.08197356,-13.61112906
8.49,-14.16769401,-16.97952259,-16.11575825,-13.67899751
8.5,-14.16317743,-17.03228882,-16.14135588,-13.74443594
8.51,-14.14565933,-17.06750469,-16.15842268,-13.79131782
8.52,-14.12676679,-17.09730685,-16.16665047,-13.83697378
8.53,-14.10651215,-17.12151504,-16.16616277,-13.88124336
8.54,-14.08491319,-17.13998235,-16.15714346,-13.92397638
8.55,-14.06199305,-17.15259819,-16.13983295,-13.96503423
8.56,-14.0377801,-17.15929065,-16.11452359,-14.00429111
8.57,-14.01230781,-17.16002829,-16.08155409,-14.04163503
8.58,-13.98561462,-17.15482111,-16.04130354,-14.0769687
8.59,-13.95774381,-17.14372088,-15.99418499,-14.11021032
8.6,-13.92874334,-17.12682054,-15.9406389,-14.1412941
8.61,-13.89866578,-17.10425303,-15.88112664,-14.17017068
8.62,-13.86756817,-17.07618929,-15.81612428,-14.1968074
8.63,-13.83551202,-17.04283567,-15.74611666,-14.22118841
8.64,-13.80256319,-17.00443082,-15.67159202,-14.24331457
8.65,-13.768792,-16.96124214,-15.59303718,-14.26320332
8.66,-13.73427316,-16.91356183,-15.51093327,-14.28088834
8.67,-13.69908592,-16.86170293,-15.42575216,-14.29641915
8.68,-13.66331413,-16.80599505,-15.33795343,-14.30986056
8.69,-13.62704641,-16.74678032,-15.247982,-14.32129209
8.7,-13.59037627,-16.68440933,-15.15626625,-14.33080723
8.71,-13.5534023,-16.61923732,-15.06321665,-14.3385127
8.72,-13.51622837,-16.55162067,-14.96922487,-14.34452758
8.73,-13.47896374,-16.48191361,-14.87466318,-14.34898242
8.74,-13.44172325,-16.41046535,-14.77988425,-14.35201825
8.75,-13.40462739,-16.33761755,-14.68522115,-14.35378552
8.76,-13.36780236,-16.2637021,-14.59098761,-14.35444296
8.77,-13.33138001,-16.18903936,-14.49747841,-14.35415642
8.78,-13.29549771,-16.11393657,-14.40496985,-14.35309746
8.79,-13.26029811,-16.03868672,-14.31372034,-14.35144202
8.8,-13.22592867,-15.96356759,-14.22397106,-14.34936882
8.81,-13.19254117,-15.88884108,-14.13594651,-14.34705773
8.82,-13.16029089,-15.81475274,-14.04985523,-14.34468791
8.83,-13.12933572,-15.74153144,-13.96589033,-14.34243592
8.84,-13.09983497,-15.66938918,-13.8842301,-14.34047357
8.85,-13.07194807,-15.59852109,-13.8050385,-14.33896577
8.86,-13.04583302,-15.52910534,-13.72846564,-14.33806814
8.87,-13.02164463,-15.4613033,-13.65464815,-14.33792465
8.88,-12.99953268,-15.39525953,-13.58370955,-14.33866518
8.89,-12.97963991,-15.33110194,-13.51576053,-14.34040309
8.9,-12.96209995,-15.26894184,-13.45089913,-14.3432329
8.91,-12.94703517,-15.20887407,-13.38921099,-14.34722811
8.92,-12.93455467,-15.15097699,-13.33076938,-14.3524393
8.93,-12.92475231,-15.09531257,-13.27563536,-14.35889251
8.94,-12.91770485,-15.0419264,-13.22385777,-14.36658809
8.95,-12.91347047,-14.99084769,-13.1754733,-14.37550003
8.96,-12.91208748,-14.94208932,-13.13050644,-14.38557585
8.97,-12.9135734,-14.89564781,-13.0889695,-14.39673711
8.98,-12.91792447,-14.85150346,-13.05086263,-14.40888057
8.99,-12.92511557,-14.80962041,-13.01617378,-14.42187996
9,-12.93510057,-14.7699469,-12.98487874,-14.43558841
9.01,-12.94781311,-14.73241553,-12.95694117,-14.4498414
9.02,-12.96316781,-14.69694373,-12.93231272,-14.46446013
9.03,-12.98106182,-14.66343436,-12.91093311,-14.47925531
9.04,-13.0013767,-14.63177645,-12.89273032,-14.4940311
9.05,-13.02398057,-14.6018462,-12.87762082,-14.50858921
9.06,-13.04873042,-14.5735081,-12.86550984,-14.52273281
9.07,-13.07547454,-14.54661638,-12.85629175,-14.53627041
9.08,-13.10405497,-14.52101654,-12.84985045,-14.54901926
9.09,-13.13430995,-14.4965472,-12.84605987,-14.56080847
9.1,-13.16607623,-14.47304203,-12.84478454,-14.57148154
9.11,-13.19919128,-14.45033187,-12.84588021,-14.58089842
9.12,-13.23349524,-14.42824699,-12.84919457,-14.58893701
9.13,-13.26883273,-14.40661939,-12.85456805,-14.59549404
9.14,-13.30505432,-14.38528505,-12.86183461,-14.60048552
9.15,-13.34201785,-14.36408626,-12.87082271,-14.60384663
9.16,-13.3795894,-14.3428737,-12.88135625,-14.60553126
9.17,-13.41764403,-14.32150847,-12.8932556,-14.60551112
9.18,-13.45606637,-14.29986386,-12.90633871,-14.60377463
9.19,-13.49475084,-14.27782682,-12.92042215,-14.60032557
9.2,-13.53360183,-14.25529919,-12.93532237,-14.59518158
9.21,-13.57253361,-14.23219858,-12.95085677,-14.58837263
9.22,-13.61147013,-14.20845888,-12.96684495,-14.57993936
9.23,-13.6503447,-14.1840305,-12.98310989,-14.56993157
9.24,-13.68909956,-14.15888019,-12.99947914,-14.55840668
9.25,-13.72768539,-14.13299064,-13.01578596,-14.54542826
9.26,-13.76606075,-14.10635974,-13.0318705,-14.53106479
9.27,-13.80419151,-14.07899964,-13.04758089,-14.51538838
9.28,-13.84205021,-14.0509356,-13.06277425,-14.49847372
9.29,-13.87961544,-14.02220472,-13.07731772,-14.48039717
9.3,-13.91687126,-13.99285454,-13.09108934,-14.46123589
9.31,-13.95380654,-13.9629416,-13.10397886,-14.44106718
9.32,-13.99041436,-13.93253,-13.11588847,-14.41996791
9.33,-14.02669149,-13.90168997,-13.12673343,-14.39801402
9.34,-14.06263777,-13.87049651,-13.13644255,-14.37528021
9.35,-14.09825564,-13.83902812,-13.14495862,-14.35183958
9.36,-14.13354959,-13.80736561,-13.1522386,-14.3277635
9.37,-14.16852572,-13.77559102,-13.15825381,-14.30312145
9.38,-14.20319128,-13.74378672,-13.16298992,-14.27798092
9.39,-14.23755424,-13.7120346,-13.16644682,-14.25240744
9.4,-14.27162289,-13.68041536,-13.16863836,-14.22646454
9.41,-14.30540547,-13.64900798,-13.16959197,-14.20021387
9.42,-14.3389098,-13.61788928,-13.16934816,-14.17371523
9.43,-14.37214293,-13.5871336,-13.16795992,-14.14702672
9.44,-14.40511082,-13.55681253,-13.16549195,-14.12020486
9.45,-14.437818,-13.52699483,-13.16201984,-14.09330471
9.46,-14.47026731,-13.49774633,-13.15762916,-14.06638007
9.47,-14.50245952,-13.46912994,-13.15241443,-14.03948363
9.48,-14.53439313,-13.44120573,-13.14647802,-14.01266713
9.49,-14.56606402,-13.41403103,-13.13992898,-13.98598155
9.5,-14.59746519,-13.38766061,-13.13288187,-13.95947727
9.51,-14.62858648,-13.36214682,-13.12545542,-13.93320429
9.52,-14.65941431,-13.33753985,-13.11777127,-13.90721237
9.53,-14.68993142,-13.31388792,-13.10995263,-13.88155118
9.54,-14.72011658,-13.29123754,-13.10212293,-13.85627056
9.55,-14.74994439,-13.26963378,-13.09440443,-13.83142058
9.56,-14.77938499,-13.24912046,-13.08691694,-13.80705177
9.57,-14.80840391,-13.22974048,-13.07977643,-13.78321523
9.58,-14.83696179,-13.21153602,-13.07309374,-13.75996277
9.59,-14.86501424,-13.1945488,-13.06697337,-13.73734708
9.6,-14.89251172,-13.17882029,-13.0615122,-13.71542176
9.61,-14.91939936,-13.16439199,-13.05679845,-13.6942415
9.62,-14.94561698,-13.15130558,-13.05291057,-13.67386213
9.63,-14.97109898,-13.13960313,-13.04991631,-13.65434063
9.64,-14.99577448,-13.12932728,-13.04787191,-13.63573525
9.65,-15.01956735,-13.12052141,-13.04682134,-13.61810542
