Freq [GHz],"dB(S(1,1))","dB(S(2,2))","dB(S(3,3))","dB(S(4,4))"
1.98,-7.110295211,-6.710465434,-6.472681156,-6.920203129
1.99,-7.144719931,-6.74300606,-6.523966972,-6.956734587
2,-7.179394063,-6.775576956,-6.575952162,-6.993532661
2.01,-7.214329184,-6.80817937,-6.628652669,-7.03060659
2.02,-7.249537033,-6.840814553,-6.682084606,-7.067965696
2.03,-7.285029508,-6.873483767,-6.736264253,-7.10561938
2.04,-7.320818665,-6.906188274,-6.791208058,-7.143577118
2.05,-7.356916707,-6.938929341,-6.846932631,-7.181848451
2.06,-7.393335983,-6.971708235,-6.903454744,-7.220442978
2.07,-7.430088984,-7.004526221,-6.960791328,-7.259370356
2.08,-7.467188331,-7.037384562,-7.01895947,-7.298640282
2.09,-7.504646776,-7.070284513,-7.077976414,-7.338262495
2.1,-7.542477192,-7.10322732,-7.137859554,-7.378246763
2.11,-7.580692567,-7.136214218,-7.19862644,-7.418602876
2.12,-7.619305996,-7.169246429,-7.26029477,-7.459340638
2.13,-7.658330679,-7.202325156,-7.322882392,-7.500469858
2.14,-7.697779905,-7.23545158,-7.386407304,-7.542000338
2.15,-7.737667053,-7.26862686,-7.450887652,-7.583941871
2.16,-7.778005579,-7.301852125,-7.516341731,-7.626304221
2.17,-7.818809008,-7.335128476,-7.582787986,-7.669097123
2.18,-7.860090927,-7.368456974,-7.650245011,-7.712330265
2.19,-7.901864975,-7.401838642,-7.718731553,-7.756013281
2.2,-7.944144836,-7.43527446,-7.788266513,-7.800155741
2.21,-7.986944227,-7.468765358,-7.858868948,-7.844767139
2.22,-8.030276891,-7.502312214,-7.930558074,-7.889856879
2.23,-8.074156584,-7.535915847,-8.003353272,-7.935434269
2.24,-8.11859707,-7.569577015,-8.07727409,-7.981508506
2.25,-8.163612106,-7.603296406,-8.152340249,-8.028088666
2.26,-8.209215434,-7.637074637,-8.228571652,-8.075183692
2.27,-8.255420773,-7.670912247,-8.305988387,-8.122802386
2.28,-8.302241803,-7.704809691,-8.384610738,-8.170953392
2.29,-8.349692158,-7.738767337,-8.464459191,-8.21964519
2.3,-8.397785415,-7.77278546,-8.545554448,-8.268886085
2.31,-8.446535083,-7.806864234,-8.627917436,-8.318684196
2.32,-8.495954593,-7.841003731,-8.711569316,-8.369047446
2.33,-8.546057282,-7.875203916,-8.796531504,-8.419983555
2.34,-8.59685639,-7.909464638,-8.882825679,-8.471500031
2.35,-8.648365045,-7.943785629,-8.970473801,-8.523604164
2.36,-8.70059625,-7.978166499,-9.05949813,-8.576303017
2.37,-8.753562876,-8.012606733,-9.149921244,-8.629603421
2.38,-8.807277651,-8.047105684,-9.241766058,-8.683511976
2.39,-8.861753147,-8.081662572,-9.335055849,-8.738035039
2.4,-8.917001771,-8.116276483,-9.429814277,-8.79317873
2.41,-8.973035756,-8.150946362,-9.52606541,-8.84894893
2.42,-9.029867149,-8.185671017,-9.623833756,-8.905351279
2.43,-9.087507802,-8.220449112,-9.723144287,-8.96239118
2.44,-9.145969361,-8.255279172,-9.82402247,-9.020073805
2.45,-9.20526326,-8.29015958,-9.926494306,-9.078404098
2.46,-9.265400707,-8.325088579,-10.03058636,-9.137386785
2.47,-9.326392681,-8.360064275,-10.1363258,-9.197026381
2.48,-9.388249916,-8.39508464,-10.24374043,-9.257327199
2.49,-9.450982901,-8.430147514,-10.35285876,-9.318293364
2.5,-9.514601865,-8.465250613,-10.46371001,-9.379928826
2.51,-9.579116773,-8.500391533,-10.57632418,-9.442237375
2.52,-9.644537319,-8.535567756,-10.69073211,-9.505222657
2.53,-9.710872915,-8.570776662,-10.80696552,-9.568888187
2.54,-9.778132688,-8.606015536,-10.92505704,-9.633237376
2.55,-9.846325475,-8.641281577,-11.04504034,-9.698273542
2.56,-9.915459809,-8.676571912,-11.16695013,-9.763999935
2.57,-9.985543922,-8.711883609,-11.29082223,-9.830419756
2.58,-10.05658573,-8.747213686,-11.41669367,-9.897536181
2.59,-10.12859285,-8.782559132,-11.54460276,-9.965352379
2.6,-10.20157255,-8.817916919,-11.67458913,-10.03387154
2.61,-10.27553179,-8.853284017,-11.80669385,-10.10309689
2.62,-10.35047719,-8.888657416,-11.9409595,-10.17303172
2.63,-10.42641503,-8.924034138,-12.07743026,-10.24367941
2.64,-10.50335127,-8.959411262,-12.216152,-10.31504345
2.65,-10.58129148,-8.994785937,-12.35717238,-10.38712745
2.66,-10.66024092,-9.030155405,-12.50054097,-10.45993518
2.67,-10.74020446,-9.06551702,-12.64630932,-10.53347059
2.68,-10.82118661,-9.100868268,-12.79453111,-10.60773782
2.69,-10.90319152,-9.136206784,-12.94526225,-10.68274123
2.7,-10.98622293,-9.171530376,-13.09856101,-10.75848542
2.71,-11.07028424,-9.206837041,-13.25448813,-10.83497523
2.72,-11.1553784,-9.242124986,-13.41310698,-10.91221581
2.73,-11.24150798,-9.277392641,-13.57448368,-10.99021257
2.74,-11.32867514,-9.312638686,-13.73868724,-11.06897127
2.75,-11.41688158,-9.347862056,-13.90578972,-11.14849797
2.76,-11.50612857,-9.383061967,-14.07586635,-11.22879911
2.77,-11.59641693,-9.418237924,-14.24899574,-11.30988148
2.78,-11.68774699,-9.453389734,-14.42525997,-11.39175227
2.79,-11.78011857,-9.488517523,-14.60474478,-11.47441906
2.8,-11.87353098,-9.523621744,-14.78753973,-11.55788986
2.81,-11.967983,-9.558703181,-14.97373834,-11.64217312
2.82,-12.06347281,-9.593762968,-15.16343822,-11.72727774
2.83,-12.15999799,-9.628802583,-15.35674124,-11.81321311
2.84,-12.2575555,-9.663823861,-15.55375363,-11.89998908
2.85,-12.3561416,-9.698828995,-15.75458609,-11.98761604
2.86,-12.45575185,-9.733820537,-15.95935387,-12.07610491
2.87,-12.55638101,-9.768801396,-16.16817679,-12.16546713
2.88,-12.65802305,-9.803774844,-16.38117929,-12.25571473
2.89,-12.76067104,-9.838744506,-16.59849029,-12.34686034
2.9,-12.86431713,-9.873714358,-16.82024313,-12.43891717
2.91,-12.96895243,-9.908688728,-17.04657527,-12.53189908
2.92,-13.07456697,-9.943672282,-17.27762796,-12.62582061
2.93,-13.1811496,-9.978670022,-17.51354572,-12.72069693
2.94,-13.28868791,-10.01368728,-17.75447559,-12.81654395
2.95,-13.3971681,-10.04872969,-18.00056623,-12.91337832
2.96,-13.50657491,-10.08380322,-18.25196655,-13.01121743
2.97,-13.61689144,-10.11891413,-18.50882412,-13.11007946
2.98,-13.72809909,-10.15406895,-18.77128296,-13.20998343
2.99,-13.84017735,-10.18927451,-19.03948078,-13.3109492
3,-13.95310369,-10.2245379,-19.31354542,-13.41299751
3.01,-14.06685337,-10.25986647,-19.59359042,-13.51615005
3.02,-14.18139927,-10.29526782,-19.87970927,-13.62042945
3.03,-14.29671167,-10.33074979,-20.17196837,-13.72585933
3.04,-14.41275807,-10.36632042,-20.47039806,-13.83246437
3.05,-14.52950295,-10.401988,-20.7749815,-13.94027033
