Freq [GHz],S12_Simulated,S12_Measured,S13_Simulated,S13_Measured,S14_Simulated,S14_Measured
7.14,-21.27801,-23.05669,-19.27294,-20.33329,-20.60917,-20.84971
7.15,-21.15257,-22.93061,-19.24673,-20.31457,-20.50286,-20.72544
7.16,-21.02671,-22.80207,-19.21964,-20.2936,-20.39466,-20.59959
7.17,-20.9006,-22.67126,-19.19166,-20.27038,-20.28464,-20.47232
7.18,-20.77442,-22.53838,-19.16278,-20.24491,-20.17287,-20.34379
7.19,-20.64831,-22.40362,-19.13297,-20.21721,-20.05943,-20.21413
7.2,-20.52244,-22.26718,-19.10218,-20.18731,-19.9444,-20.08352
7.21,-20.39693,-22.12927,-19.07035,-20.15523,-19.82787,-19.9521
7.22,-20.27193,-21.99008,-19.03734,-20.12102,-19.70992,-19.82003
7.23,-20.14756,-21.84983,-19.00294,-20.0847,-19.59064,-19.68745
7.24,-20.02394,-21.70871,-18.96673,-20.04635,-19.47014,-19.55453
7.25,-19.90118,-21.56693,-18.92797,-20.00601,-19.34851,-19.4214
7.26,-19.7794,-21.42472,-18.88514,-19.96376,-19.22588,-19.28822
7.27,-19.65869,-21.28226,-18.83531,-19.91967,-19.10235,-19.15515
7.28,-19.53915,-21.13979,-18.77571,-19.87383,-18.97804,-19.02234
7.29,-19.4209,-20.99751,-18.74739,-19.82633,-18.85309,-18.88993
7.3,-19.30401,-20.85564,-18.82224,-19.77729,-18.72763,-18.75809
7.31,-19.1886,-20.7144,-18.81759,-19.72682,-18.60181,-18.62697
7.32,-19.07476,-20.57401,-18.78023,-19.67505,-18.47577,-18.49673
7.33,-18.96259,-20.4347,-18.74132,-19.62212,-18.34969,-18.36754
7.34,-18.85218,-20.29668,-18.70436,-19.5682,-18.22372,-18.23955
7.35,-18.74366,-20.16018,-18.66942,-19.51345,-18.09806,-18.11293
7.36,-18.63713,-20.02545,-18.63628,-19.45806,-17.97289,-17.98785
7.37,-18.5327,-19.89269,-18.60487,-19.40222,-17.84841,-17.86449
