Freq [GHz],S12,S13,S14,S23,S24,S34
6.91,-23.56521,-19.63842,-22.40857,-21.82164,-20.36103,-22.44243
6.92,-23.50672,-19.63156,-22.35962,-21.78192,-20.35623,-22.3908
6.93,-23.44341,-19.62393,-22.30778,-21.73899,-20.34978,-22.33424
6.94,-23.37535,-19.61553,-22.25308,-21.6928,-20.34165,-22.27279
6.95,-23.30266,-19.60633,-22.19553,-21.64334,-20.33183,-22.20653
6.96,-23.22545,-19.59635,-22.13517,-21.59056,-20.3203,-22.13555
6.97,-23.14387,-19.58555,-22.07203,-21.53447,-20.30705,-22.05995
6.98,-23.05806,-19.57395,-22.00614,-21.47503,-20.29206,-21.97986
6.99,-22.9682,-19.56153,-21.93752,-21.41225,-20.27533,-21.89543
7,-22.87447,-19.54828,-21.86622,-21.34612,-20.25686,-21.8068
7.01,-22.77708,-19.53419,-21.79227,-21.27663,-20.23666,-21.71415
7.02,-22.67623,-19.51927,-21.71571,-21.20381,-20.21474,-21.61767
7.03,-22.57213,-19.50349,-21.63658,-21.12765,-20.19111,-21.51754
7.04,-22.46502,-19.48687,-21.55491,-21.04819,-20.1658,-21.41396
7.05,-22.35511,-19.46939,-21.47075,-20.96545,-20.13884,-21.30715
7.06,-22.24264,-19.45104,-21.38415,-20.87946,-20.11027,-21.1973
7.07,-22.12784,-19.43183,-21.29514,-20.79027,-20.08013,-21.08463
7.08,-22.01094,-19.41176,-21.20378,-20.69792,-20.04848,-20.96935
7.09,-21.89217,-19.39081,-21.11012,-20.60246,-20.01538,-20.85168
7.1,-21.77176,-19.36898,-21.01421,-20.50396,-19.9809,-20.73182
7.11,-21.64992,-19.34628,-20.9161,-20.40248,-19.94513,-20.60998
7.12,-21.52688,-19.32271,-20.81586,-20.2981,-19.90814,-20.48637
7.13,-21.40284,-19.29826,-20.71352,-20.1909,-19.87005,-20.36117
7.14,-21.27801,-19.27294,-20.60917,-20.08097,-19.83095,-20.23459
7.15,-21.15257,-19.24673,-20.50286,-19.9684,-19.79096,-20.1068
7.16,-21.02671,-19.21964,-20.39466,-19.85329,-19.75021,-19.97798
7.17,-20.9006,-19.19166,-20.28464,-19.73576,-19.70882,-19.84831
7.18,-20.77442,-19.16278,-20.17287,-19.61591,-19.66693,-19.71794
7.19,-20.64831,-19.13297,-20.05943,-19.49387,-19.6247,-19.58704
7.2,-20.52244,-19.10218,-19.9444,-19.36977,-19.58226,-19.45576
7.21,-20.39693,-19.07035,-19.82787,-19.24375,-19.53977,-19.32422
7.22,-20.27193,-19.03734,-19.70992,-19.11594,-19.49738,-19.19258
7.23,-20.14756,-19.00294,-19.59064,-18.9865,-19.45527,-19.06095
7.24,-20.02394,-18.96673,-19.47014,-18.85558,-19.41358,-18.92947
7.25,-19.90118,-18.92797,-19.34851,-18.72333,-19.37248,-18.79825
7.26,-19.7794,-18.88514,-19.22588,-18.58995,-19.33213,-18.6674
7.27,-19.65869,-18.83531,-19.10235,-18.45558,-19.29269,-18.53703
7.28,-19.53915,-18.77571,-18.97804,-18.32043,-19.25432,-18.40725
7.29,-19.4209,-18.74739,-18.85309,-18.18467,-19.21716,-18.27816
7.3,-19.30401,-18.82224,-18.72763,-18.04851,-19.18139,-18.14986
7.31,-19.1886,-18.81759,-18.60181,-17.91213,-19.14713,-18.02244
7.32,-19.07476,-18.78023,-18.47577,-17.77576,-19.11455,-17.89601
7.33,-18.96259,-18.74132,-18.34969,-17.63961,-19.08379,-17.77067
7.34,-18.85218,-18.70436,-18.22372,-17.5039,-19.05499,-17.64651
7.35,-18.74366,-18.66942,-18.09806,-17.36884,-19.02832,-17.52362
7.36,-18.63713,-18.63628,-17.97289,-17.23469,-19.00391,-17.40213
7.37,-18.5327,-18.60487,-17.84841,-17.10166,-18.98193,-17.28212
7.38,-18.43051,-18.57517,-17.72484,-16.97002,-18.96254,-17.1637
7.39,-18.33068,-18.54729,-17.6024,-16.84,-18.94591,-17.047
7.4,-18.23335,-18.52137,-17.48131,-16.71186,-18.93223,-16.93212
7.41,-18.13868,-18.49759,-17.36183,-16.58585,-18.92169,-16.81919
7.42,-18.04681,-18.47618,-17.24421,-16.46223,-18.91452,-16.70833
7.43,-17.95792,-18.45739,-17.12872,-16.34126,-18.91092,-16.59967
7.44,-17.87218,-18.4415,-17.01564,-16.22321,-18.91116,-16.49337
7.45,-17.78979,-18.4288,-16.90526,-16.10833,-18.91549,-16.38955
7.46,-17.71094,-18.41962,-16.79787,-15.99688,-18.9242,-16.28839
7.47,-17.63584,-18.41429,-16.69378,-15.88913,-18.93758,-16.19002
7.48,-17.5647,-18.41315,-16.59331,-15.78533,-18.95595,-16.09463
7.49,-17.49775,-18.41658,-16.49677,-15.68572,-18.97962,-16.00237
7.5,-17.43522,-18.42495,-16.4045,-15.59055,-19.00895,-15.91344
7.51,-17.37734,-18.43864,-16.31683,-15.50005,-19.04428,-15.82801
7.52,-17.32437,-18.45803,-16.23408,-15.41445,-19.08594,-15.74628
7.53,-17.27654,-18.4835,-16.15658,-15.33397,-19.13429,-15.66842
7.54,-17.23409,-18.51544,-16.08466,-15.25879,-19.18966,-15.59464
7.55,-17.19727,-18.55421,-16.01864,-15.18911,-19.25237,-15.52514
7.56,-17.16632,-18.60018,-15.95883,-15.1251,-19.32271,-15.46011
7.57,-17.14145,-18.65367,-15.90553,-15.06691,-19.40096,-15.39975
7.58,-17.1229,-18.71502,-15.85903,-15.01468,-19.48735,-15.34425
7.59,-17.11086,-18.78451,-15.81958,-14.96851,-19.58208,-15.29379
7.6,-17.10552,-18.8624,-15.78745,-14.92852,-19.68528,-15.24857
7.61,-17.10704,-18.94891,-15.76285,-14.89477,-19.79707,-15.20875
7.62,-17.11559,-19.04422,-15.74598,-14.86731,-19.91748,-15.1745
7.63,-17.13127,-19.14848,-15.73702,-14.84619,-20.0465,-15.14597
7.64,-17.15418,-19.26178,-15.73611,-14.83142,-20.18404,-15.1233
7.65,-17.1844,-19.38419,-15.74336,-14.82298,-20.33,-15.10661
7.66,-17.22195,-19.51569,-15.75887,-14.82086,-20.48416,-15.09601
7.67,-17.26684,-19.65626,-15.78268,-14.82501,-20.6463,-15.09158
7.68,-17.31906,-19.8058,-15.81481,-14.83536,-20.81611,-15.09339
7.69,-17.37854,-19.9642,-15.85527,-14.85184,-20.99327,-15.1015
7.7,-17.44521,-20.13128,-15.90401,-14.87436,-21.17738,-15.11593
7.71,-17.51895,-20.30685,-15.96098,-14.90281,-21.36803,-15.13668
7.72,-17.59962,-20.49067,-16.02608,-14.93708,-21.56478,-15.16374
7.73,-17.68706,-20.68247,-16.09923,-14.97703,-21.76715,-15.19709
7.74,-17.78109,-20.88197,-16.18027,-15.02253,-21.97467,-15.23666
7.75,-17.88151,-21.08886,-16.26908,-15.07344,-22.18683,-15.28239
7.76,-17.9881,-21.30283,-16.36549,-15.12962,-22.40312,-15.3342
7.77,-18.10062,-21.52353,-16.46934,-15.19091,-22.62303,-15.39198
7.78,-18.21885,-21.75063,-16.58044,-15.25716,-22.84606,-15.45563
7.79,-18.34254,-21.98378,-16.69861,-15.32824,-23.0717,-15.52504
7.8,-18.47145,-22.22264,-16.82368,-15.40398,-23.29945,-15.60007
7.81,-18.60532,-22.46686,-16.95545,-15.48424,-23.52882,-15.6806
7.82,-18.74393,-22.7161,-17.09373,-15.56889,-23.75934,-15.76651
7.83,-18.88703,-22.97002,-17.23836,-15.65778,-23.99053,-15.85767
7.84,-19.03442,-23.22829,-17.38915,-15.7508,-24.22193,-15.95397
7.85,-19.18586,-23.49057,-17.54594,-15.8478,-24.4531,-16.0553
7.86,-19.34118,-23.75654,-17.70857,-15.94869,-24.68359,-16.16157
7.87,-19.50019,-24.02587,-17.87689,-16.05336,-24.91299,-16.2727
7.88,-19.66273,-24.29824,-18.05076,-16.1617,-25.14086,-16.38863
7.89,-19.82866,-24.57331,-18.23005,-16.27364,-25.36679,-16.50933
7.9,-19.99786,-24.85074,-18.41464,-16.3891,-25.59037,-16.63476
7.91,-20.17022,-25.13019,-18.60443,-16.50801,-25.81121,-16.76494
7.92,-20.34567,-25.41127,-18.79931,-16.63031,-26.02888,-16.8999
7.93,-20.52416,-25.69361,-18.9992,-16.75596,-26.24301,-17.03969
7.94,-20.70564,-25.97676,-19.20402,-16.88494,-26.45317,-17.18439
7.95,-20.89012,-26.26027,-19.41369,-17.0172,-26.65898,-17.33411
7.96,-21.07761,-26.54362,-19.62815,-17.15275,-26.86002,-17.48897
7.97,-21.26814,-26.82625,-19.84733,-17.29157,-27.0559,-17.6491
7.98,-21.46176,-27.10752,-20.07119,-17.43369,-27.24621,-17.81468
7.99,-21.65856,-27.3867,-20.29967,-17.57912,-27.43054,-17.98587
8,-21.85862,-27.66301,-20.53271,-17.72789,-27.60849,-18.16284
8.01,-22.06205,-27.93554,-20.77026,-17.88005,-27.77965,-18.34578
8.02,-22.26898,-28.20328,-21.01225,-18.03563,-27.94364,-18.53485
8.03,-22.47954,-28.46513,-21.25863,-18.19472,-28.10004,-18.7302
8.04,-22.69386,-28.71987,-21.50931,-18.35736,-28.2485,-18.93198
8.05,-22.91208,-28.96615,-21.76419,-18.52365,-28.38865,-19.14029
8.06,-23.13434,-29.20256,-22.02317,-18.69366,-28.52015,-19.35521
8.07,-23.36075,-29.42759,-22.28612,-18.86749,-28.64268,-19.57679
8.08,-23.59142,-29.6397,-22.55288,-19.04523,-28.75598,-19.80501
8.09,-23.82642,-29.83732,-22.82325,-19.22698,-28.85981,-20.03984
8.1,-24.06579,-30.01896,-23.09702,-19.41285,-28.954,-20.28118
8.11,-24.30952,-30.1832,-23.3739,-19.60295,-29.03841,-20.5289
8.12,-24.55753,-30.32883,-23.65358,-19.79737,-29.11298,-20.78283
8.13,-24.80967,-30.45488,-23.93567,-19.99622,-29.17775,-21.04274
8.14,-25.06572,-30.56069,-24.21974,-20.1996,-29.23279,-21.30838
