Freq [GHz],S12,S13,S14,S23,S24,S34
9.51,-29.67132,-27.90336,-27.38588,-27.81702,-29.58806,-27.94856
9.52,-29.69423,-27.79431,-27.44888,-27.82748,-29.38106,-27.98408
9.53,-29.71154,-27.68434,-27.51085,-27.83482,-29.17528,-28.01724
9.54,-29.72317,-27.57367,-27.57164,-27.83922,-28.97104,-28.04787
9.55,-29.72909,-27.46256,-27.63111,-27.84084,-28.76862,-28.07586
9.56,-29.72927,-27.35124,-27.68913,-27.83978,-28.56824,-28.10112
9.57,-29.7237,-27.23993,-27.74558,-27.83613,-28.37008,-28.12357
9.58,-29.71241,-27.12887,-27.80035,-27.82998,-28.17429,-28.14317
9.59,-29.69544,-27.01824,-27.85334,-27.82137,-27.98098,-28.15992
9.6,-29.67286,-26.90826,-27.90445,-27.81035,-27.79026,-28.17382
9.61,-29.64475,-26.79911,-27.95362,-27.79697,-27.60218,-28.18491
9.62,-29.61122,-26.69096,-28.00079,-27.78127,-27.41681,-28.19325
9.63,-29.57239,-26.58398,-28.04591,-27.76332,-27.23418,-28.1989
9.64,-29.52839,-26.47829,-28.08895,-27.74316,-27.05431,-28.20196
9.65,-29.4794,-26.37405,-28.12989,-27.72088,-26.87723,-28.20253
9.66,-29.42556,-26.27137,-28.16875,-27.69658,-26.70295,-28.2007
9.67,-29.36706,-26.17036,-28.20552,-27.67038,-26.53148,-28.1966
9.68,-29.30409,-26.0711,-28.24026,-27.64241,-26.36281,-28.19033
9.69,-29.23686,-25.9737,-28.27299,-27.61284,-26.19696,-28.18201
9.7,-29.16556,-25.87821,-28.30379,-27.58187,-26.03392,-28.17177
9.71,-29.09041,-25.78471,-28.33272,-27.5497,-25.87369,-28.1597
9.72,-29.01163,-25.69324,-28.35986,-27.51657,-25.71628,-28.14591
9.73,-28.92943,-25.60386,-28.38531,-27.48274,-25.56169,-28.13052
9.74,-28.84405,-25.51658,-28.40918,-27.44849,-25.40992,-28.11361
9.75,-28.7557,-25.43144,-28.43155,-27.41411,-25.26098,-28.09528
9.76,-28.66461,-25.34846,-28.45255,-27.3799,-25.11489,-28.07561
9.77,-28.57101,-25.26765,-28.47228,-27.34615,-24.97165,-28.05467
9.78,-28.47512,-25.18902,-28.49084,-27.31316,-24.83127,-28.03255
9.79,-28.37718,-25.11257,-28.50834,-27.28123,-24.69379,-28.00931
9.8,-28.2774,-25.03828,-28.52486,-27.25063,-24.55921,-27.985
9.81,-28.17602,-24.96616,-28.54048,-27.22161,-24.42756,-27.95968
9.82,-28.07325,-24.89618,-28.55528,-27.1944,-24.29887,-27.9334
9.83,-27.96931,-24.82832,-28.5693,-27.16921,-24.17317,-27.9062
9.84,-27.86444,-24.76258,-28.58256,-27.14619,-24.05049,-27.87812
9.85,-27.75886,-24.69891,-28.59509,-27.12548,-23.93086,-27.84919
9.86,-27.65278,-24.63729,-28.60686,-27.10717,-23.81431,-27.81944
9.87,-27.54644,-24.57768,-28.61783,-27.09131,-23.70087,-27.78891
9.88,-27.44005,-24.52007,-28.62794,-27.07793,-23.5906,-27.75761
9.89,-27.33384,-24.4644,-28.63709,-27.06701,-23.48351,-27.72557
9.9,-27.22804,-24.41064,-28.64517,-27.05849,-23.37966,-27.6928
9.91,-27.12287,-24.35876,-28.65204,-27.05232,-23.27907,-27.65932
9.92,-27.01857,-24.30871,-28.65753,-27.04838,-23.18177,-27.62514
9.93,-26.91536,-24.26045,-28.66145,-27.04655,-23.08782,-27.59027
9.94,-26.81347,-24.21395,-28.6636,-27.04668,-22.99722,-27.55473
9.95,-26.71313,-24.16915,-28.66375,-27.04864,-22.91002,-27.51852
9.96,-26.61457,-24.12601,-28.66168,-27.05224,-22.82624,-27.48164
9.97,-26.51802,-24.0845,-28.65715,-27.05732,-22.74591,-27.44412
9.98,-26.42371,-24.04456,-28.64992,-27.06371,-22.66905,-27.40594
9.99,-26.33185,-24.00616,-28.63977,-27.07123,-22.59566,-27.36712
10,-26.24266,-23.96925,-28.62646,-27.0797,-22.52577,-27.32766
10.01,-26.15634,-23.93379,-28.6098,-27.08896,-22.45939,-27.28756
10.02,-26.0731,-23.89973,-28.5896,-27.09884,-22.39651,-27.24683
10.03,-25.99311,-23.86703,-28.56569,-27.10918,-22.33713,-27.20547
10.04,-25.91654,-23.83566,-28.53795,-27.11984,-22.28124,-27.16347
10.05,-25.84354,-23.80556,-28.50629,-27.13066,-22.22884,-27.12086
10.06,-25.77424,-23.77671,-28.47064,-27.14151,-22.17989,-27.07761
10.07,-25.70875,-23.74905,-28.43097,-27.15226,-22.13438,-27.03375
10.08,-25.64714,-23.72255,-28.38732,-27.16281,-22.09227,-26.98926
10.09,-25.58945,-23.69717,-28.33973,-27.17303,-22.05352,-26.94416
10.1,-25.53572,-23.67287,-28.28829,-27.18283,-22.0181,-26.89844
10.11,-25.48591,-23.64963,-28.23315,-27.19211,-21.98594,-26.8521
10.12,-25.43997,-23.62739,-28.17447,-27.20079,-21.95701,-26.80516
10.13,-25.39784,-23.60613,-28.11243,-27.20878,-21.93123,-26.75761
10.14,-25.35937,-23.58582,-28.04728,-27.21603,-21.90855,-26.70946
10.15,-25.32443,-23.56642,-27.97925,-27.22245,-21.88888,-26.6607
10.16,-25.29282,-23.54791,-27.90862,-27.22799,-21.87216,-26.61135
10.17,-25.26433,-23.53024,-27.83566,-27.2326,-21.85831,-26.5614
10.18,-25.23873,-23.51341,-27.76067,-27.23622,-21.84724,-26.51087
10.19,-25.21574,-23.49737,-27.68395,-27.23882,-21.83887,-26.45976
10.2,-25.19508,-23.4821,-27.6058,-27.24034,-21.83311,-26.40807
10.21,-25.17646,-23.46758,-27.52652,-27.24076,-21.82986,-26.35581
10.22,-25.15956,-23.45379,-27.4464,-27.24004,-21.82903,-26.30299
10.23,-25.14409,-23.4407,-27.36574,-27.23814,-21.83052,-26.24962
10.24,-25.12972,-23.42829,-27.28482,-27.23505,-21.83424,-26.1957
10.25,-25.11615,-23.41655,-27.2039,-27.23073,-21.84008,-26.14124
10.26,-25.10308,-23.40545,-27.12323,-27.22518,-21.84795,-26.08625
10.27,-25.09023,-23.39499,-27.04306,-27.21835,-21.85774,-26.03075
10.28,-25.07733,-23.38515,-26.96361,-27.21025,-21.86935,-25.97474
10.29,-25.06412,-23.37591,-26.88509,-27.20084,-21.88269,-25.91824
10.3,-25.05038,-23.36727,-26.80768,-27.19013,-21.89764,-25.86126
10.31,-25.03591,-23.35922,-26.73155,-27.17809,-21.91412,-25.80381
10.32,-25.02052,-23.35174,-26.65687,-27.16472,-21.93203,-25.74591
10.33,-25.00406,-23.34483,-26.58377,-27.15001,-21.95126,-25.68758
10.34,-24.98639,-23.33849,-26.51237,-27.13395,-21.97173,-25.62883
10.35,-24.96741,-23.33271,-26.44279,-27.11653,-21.99335,-25.56969
10.36,-24.94702,-23.3275,-26.37511,-27.09775,-22.01601,-25.51016
10.37,-24.92518,-23.32285,-26.3094,-27.07761,-22.03965,-25.45028
10.38,-24.90184,-23.31876,-26.24574,-27.0561,-22.06416,-25.39006
10.39,-24.87697,-23.31525,-26.18418,-27.03322,-22.08947,-25.32953
10.4,-24.85058,-23.31231,-26.12475,-27.00898,-22.11551,-25.26872
10.41,-24.82268,-23.30995,-26.06749,-26.98337,-22.14218,-25.20764
10.42,-24.79329,-23.30819,-26.0124,-26.9564,-22.16943,-25.14634
10.43,-24.76245,-23.30704,-25.9595,-26.92807,-22.19717,-25.08483
10.44,-24.73022,-23.3065,-25.9088,-26.89838,-22.22535,-25.02316
10.45,-24.69665,-23.3066,-25.86027,-26.86736,-22.2539,-24.96134
10.46,-24.66181,-23.30735,-25.81391,-26.83499,-22.28275,-24.89943
10.47,-24.62578,-23.30877,-25.7697,-26.80129,-22.31187,-24.83746
10.48,-24.58863,-23.31089,-25.72761,-26.76628,-22.34118,-24.77546
10.49,-24.55044,-23.31372,-25.6876,-26.72996,-22.37064,-24.71348
10.5,-24.5113,-23.3173,-25.64965,-26.69235,-22.40021,-24.65156
10.51,-24.47129,-23.32165,-25.61371,-26.65347,-22.42984,-24.58975
10.52,-24.43051,-23.3268,-25.57975,-26.61332,-22.45949,-24.52809
10.53,-24.38903,-23.33279,-25.54771,-26.57194,-22.48914,-24.46663
10.54,-24.34694,-23.33964,-25.51755,-26.52933,-22.51874,-24.40543
10.55,-24.30433,-23.3474,-25.48922,-26.48553,-22.54827,-24.34454
10.56,-24.26129,-23.3561,-25.46268,-26.44055,-22.57771,-24.28402
10.57,-24.21788,-23.36579,-25.43786,-26.39443,-22.60703,-24.22392
10.58,-24.17419,-23.3765,-25.41473,-26.34718,-22.63621,-24.16432
10.59,-24.13031,-23.38829,-25.39322,-26.29885,-22.66525,-24.10526
10.6,-24.08629,-23.40119,-25.3733,-26.24945,-22.69412,-24.04683
10.61,-24.04222,-23.41526,-25.35489,-26.19903,-22.72283,-23.98908
10.62,-23.99815,-23.43055,-25.33797,-26.14762,-22.75136,-23.93208
10.63,-23.95417,-23.4471,-25.32247,-26.09526,-22.77972,-23.87592
10.64,-23.91032,-23.46498,-25.30835,-26.04198,-22.80791,-23.82066
10.65,-23.86667,-23.48424,-25.29556,-25.98783,-22.83593,-23.76638
10.66,-23.82327,-23.50493,-25.28406,-25.93285,-22.86378,-23.71316
10.67,-23.78019,-23.52712,-25.27379,-25.87709,-22.89148,-23.66108
10.68,-23.73746,-23.55086,-25.26472,-25.8206,-22.91903,-23.61022
10.69,-23.69514,-23.5762,-25.2568,-25.76342,-22.94646,-23.56065
10.7,-23.65328,-23.60322,-25.25,-25.70561,-22.97377,-23.51246
10.71,-23.61192,-23.63197,-25.24427,-25.64723,-23.00099,-23.46572
10.72,-23.5711,-23.66251,-25.23957,-25.58832,-23.02813,-23.42053
10.73,-23.53085,-23.6949,-25.23588,-25.52896,-23.05521,-23.37694
10.74,-23.49123,-23.7292,-25.23315,-25.46919,-23.08226,-23.33503
10.75,-23.45225,-23.76547,-25.23136,-25.40908,-23.10929,-23.29487
10.76,-23.41395,-23.80376,-25.23048,-25.3487,-23.13634,-23.25652
10.77,-23.37637,-23.84413,-25.23047,-25.2881,-23.16343,-23.22002
10.78,-23.33953,-23.88663,-25.23132,-25.22737,-23.19058,-23.18541
10.79,-23.30345,-23.93132,-25.23299,-25.16656,-23.21781,-23.15271
10.8,-23.26817,-23.97823,-25.23546,-25.10575,-23.24516,-23.12189
10.81,-23.23371,-24.02742,-25.23872,-25.04501,-23.27264,-23.0929
10.82,-23.20009,-24.07891,-25.24275,-24.98441,-23.30028,-23.06565
10.83,-23.16732,-24.13275,-25.24752,-24.92402,-23.32811,-23.03994
10.84,-23.13544,-24.18897,-25.25302,-24.86393,-23.35614,-23.01548
10.85,-23.10445,-24.24758,-25.25924,-24.8042,-23.38441,-22.99183
10.86,-23.07437,-24.3086,-25.26616,-24.74491,-23.41292,-22.96832
10.87,-23.04522,-24.37206,-25.27378,-24.68614,-23.44171,-22.94415
10.88,-23.01702,-24.43794,-25.28209,-24.62796,-23.47078,-22.91872
10.89,-22.98977,-24.50624,-25.29107,-24.57045,-23.50015,-22.89369
10.9,-22.96349,-24.57696,-25.30073,-24.51368,-23.52985,-22.87987
10.91,-22.93819,-24.65008,-25.31105,-24.45773,-23.55988,-22.90751
10.92,-22.91389,-24.72556,-25.32204,-24.40268,-23.59025,-22.99402
10.93,-22.89058,-24.80336,-25.3337,-24.34859,-23.62098,-23.08477
10.94,-22.86828,-24.88345,-25.34602,-24.29553,-23.65207,-23.14004
10.95,-22.847,-24.96576,-25.359,-24.24358,-23.68354,-23.17165
10.96,-22.82674,-25.05023,-25.37266,-24.19281,-23.71537,-23.1951
10.97,-22.80751,-25.13679,-25.38699,-24.14328,-23.74758,-23.21782
10.98,-22.78932,-25.22534,-25.402,-24.09506,-23.78017,-23.24276
10.99,-22.77218,-25.3158,-25.41769,-24.0482,-23.81314,-23.271
11,-22.75608,-25.40806,-25.43408,-24.00276,-23.84649,-23.30291
11.01,-22.74103,-25.502,-25.45117,-23.95881,-23.8802,-23.33858
11.02,-22.72704,-25.59751,-25.46897,-23.9164,-23.91429,-23.37798
11.03,-22.7141,-25.69445,-25.4875,-23.87557,-23.94874,-23.42106
11.04,-22.70223,-25.79269,-25.50676,-23.83637,-23.98354,-23.46773
11.05,-22.69142,-25.89208,-25.52677,-23.79884,-24.01869,-23.51791
11.06,-22.68168,-25.99246,-25.54754,-23.76303,-24.05417,-23.5715
11.07,-22.673,-26.09368,-25.56909,-23.72898,-24.08998,-23.62842
11.08,-22.6654,-26.19557,-25.59144,-23.6967,-24.12611,-23.68858
11.09,-22.65886,-26.29797,-25.61459,-23.66624,-24.16254,-23.75189
11.1,-22.6534,-26.40068,-25.63857,-23.63761,-24.19927,-23.81826
11.11,-22.64901,-26.50355,-25.66339,-23.61084,-24.23627,-23.8876
11.12,-22.64569,-26.60639,-25.68908,-23.58595,-24.27355,-23.95981
11.13,-22.64344,-26.70901,-25.71564,-23.56294,-24.31107,-24.03481
11.14,-22.64227,-26.81124,-25.74311,-23.54184,-24.34884,-24.1125
11.15,-22.64216,-26.9129,-25.77149,-23.52264,-24.38684,-24.19279
11.16,-22.64313,-27.0138,-25.80082,-23.50535,-24.42505,-24.27559
11.17,-22.64517,-27.11377,-25.8311,-23.48997,-24.46346,-24.3608
11.18,-22.64828,-27.21265,-25.86236,-23.47649,-24.50206,-24.44833
11.19,-22.65245,-27.31025,-25.89462,-23.46491,-24.54083,-24.5381
11.2,-22.6577,-27.40642,-25.9279,-23.45522,-24.57977,-24.63
11.21,-22.66401,-27.501,-25.96221,-23.44741,-24.61887,-24.72395
11.22,-22.67139,-27.59385,-25.99759,-23.44146,-24.6581,-24.81985
11.23,-22.67983,-27.68483,-26.03404,-23.43735,-24.69746,-24.91763
11.24,-22.68933,-27.7738,-26.07159,-23.43506,-24.73694,-25.01719
11.25,-22.6999,-27.86064,-26.11026,-23.43458,-24.77652,-25.11845
11.26,-22.71152,-27.94524,-26.15006,-23.43588,-24.81621,-25.22132
11.27,-22.72421,-28.02751,-26.19102,-23.43894,-24.85598,-25.32573
11.28,-22.73795,-28.10735,-26.23314,-23.44372,-24.89584,-25.43159
11.29,-22.75275,-28.18469,-26.27645,-23.4502,-24.93576,-25.53883
11.3,-22.7686,-28.25946,-26.32097,-23.45836,-24.97575,-25.64737
11.31,-22.7855,-28.3316,-26.3667,-23.46816,-25.0158,-25.75714
11.32,-22.80345,-28.40108,-26.41366,-23.47956,-25.0559,-25.86807
11.33,-22.82245,-28.46787,-26.46186,-23.49255,-25.09604,-25.98009
11.34,-22.8425,-28.53194,-26.51132,-23.50709,-25.13623,-26.09313
11.35,-22.86359,-28.59329,-26.56204,-23.52314,-25.17644,-26.20713
11.36,-22.88573,-28.65191,-26.61404,-23.54068,-25.21669,-26.32202
11.37,-22.9089,-28.70783,-26.66732,-23.55967,-25.25696,-26.43775
11.38,-22.93312,-28.76107,-26.72188,-23.58009,-25.29725,-26.55426
11.39,-22.95837,-28.81165,-26.77775,-23.60189,-25.33757,-26.67149
11.4,-22.98466,-28.85962,-26.8349,-23.62505,-25.3779,-26.78938
11.41,-23.01199,-28.90502,-26.89336,-23.64953,-25.41824,-26.90789
11.42,-23.04034,-28.94792,-26.95312,-23.67532,-25.4586,-27.02696
11.43,-23.06973,-28.98837,-27.01418,-23.70237,-25.49896,-27.14654
11.44,-23.10014,-29.02645,-27.07653,-23.73065,-25.53934,-27.26659
11.45,-23.13158,-29.06222,-27.14017,-23.76014,-25.57973,-27.38705
11.46,-23.16404,-29.09576,-27.20509,-23.79082,-25.62012,-27.50789
11.47,-23.19752,-29.12715,-27.27129,-23.82264,-25.66052,-27.62905
11.48,-23.23202,-29.15648,-27.33875,-23.85559,-25.70093,-27.7505
11.49,-23.26754,-29.18384,-27.40747,-23.88965,-25.74135,-27.8722
11.5,-23.30407,-29.2093,-27.47742,-23.92477,-25.78178,-27.99409
11.51,-23.34161,-29.23297,-27.5486,-23.96095,-25.82222,-28.11615
11.52,-23.38016,-29.25493,-27.62098,-23.99815,-25.86267,-28.23833
11.53,-23.41972,-29.27528,-27.69455,-24.03636,-25.90313,-28.36059
11.54,-23.46028,-29.29409,-27.76928,-24.07554,-25.9436,-28.48289
11.55,-23.50184,-29.31146,-27.84516,-24.11569,-25.98409,-28.6052
11.56,-23.5444,-29.32749,-27.92215,-24.15678,-26.02459,-28.72747
11.57,-23.58795,-29.34225,-28.00023,-24.19879,-26.06511,-28.84967
11.58,-23.6325,-29.35583,-28.07937,-24.2417,-26.10565,-28.97176
11.59,-23.67803,-29.36831,-28.15955,-24.28549,-26.14621,-29.0937
11.6,-23.72454,-29.37978,-28.24073,-24.33015,-26.18679,-29.21546
11.61,-23.77203,-29.39031,-28.32288,-24.37565,-26.2274,-29.33699
11.62,-23.8205,-29.39999,-28.40596,-24.42198,-26.26803,-29.45826
11.63,-23.86994,-29.40888,-28.48993,-24.46913,-26.30869,-29.57922
11.64,-23.92034,-29.41705,-28.57477,-24.51708,-26.34937,-29.69984
11.65,-23.97171,-29.42457,-28.66043,-24.56581,-26.39009,-29.82008
11.66,-24.02404,-29.43152,-28.74687,-24.61531,-26.43084,-29.9399
11.67,-24.07732,-29.43794,-28.83406,-24.66557,-26.47162,-30.05926
11.68,-24.13154,-29.44391,-28.92194,-24.71657,-26.51244,-30.17811
11.69,-24.18671,-29.44947,-29.01048,-24.76829,-26.55329,-30.29642
11.7,-24.24282,-29.45469,-29.09962,-24.82073,-26.59418,-30.41414
11.71,-24.29986,-29.45961,-29.18934,-24.87387,-26.6351,-30.53122
11.72,-24.35782,-29.46428,-29.27958,-24.92771,-26.67607,-30.64763
11.73,-24.41671,-29.46875,-29.37029,-24.98222,-26.71708,-30.76332
11.74,-24.4765,-29.47306,-29.46143,-25.03739,-26.75813,-30.87824
11.75,-24.5372,-29.47725,-29.55294,-25.09322,-26.79922,-30.99235
11.76,-24.59881,-29.48137,-29.64479,-25.1497,-26.84035,-31.1056
11.77,-24.6613,-29.48544,-29.73693,-25.2068,-26.88152,-31.21794
11.78,-24.72468,-29.4895,-29.8293,-25.26452,-26.92274,-31.32933
11.79,-24.78894,-29.49358,-29.92185,-25.32286,-26.964,-31.43971
11.8,-24.85407,-29.49772,-30.01454,-25.38179,-27.0053,-31.54905
11.81,-24.92007,-29.50194,-30.10732,-25.4413,-27.04665,-31.65729
11.82,-24.98691,-29.50626,-30.20013,-25.5014,-27.08804,-31.76437
11.83,-25.05461,-29.51071,-30.29294,-25.56205,-27.12947,-31.87026
11.84,-25.12314,-29.51531,-30.38568,-25.62327,-27.17094,-31.9749
11.85,-25.1925,-29.52007,-30.47832,-25.68503,-27.21245,-32.07823
11.86,-25.26269,-29.52503,-30.5708,-25.74732,-27.254,-32.18023
11.87,-25.33368,-29.53019,-30.66309,-25.81013,-27.29558,-32.28082
11.88,-25.40548,-29.53557,-30.75512,-25.87346,-27.3372,-32.37997
11.89,-25.47807,-29.54119,-30.84685,-25.93728,-27.37886,-32.47762
11.9,-25.55144,-29.54705,-30.93824,-26.0016,-27.42055,-32.57373
11.91,-25.62559,-29.55317,-31.02925,-26.0664,-27.46228,-32.66826
11.92,-25.7005,-29.55956,-31.11982,-26.13167,-27.50403,-32.76114
11.93,-25.77617,-29.56622,-31.20993,-26.1974,-27.54581,-32.85236
11.94,-25.85258,-29.57317,-31.29951,-26.26358,-27.58761,-32.94184
11.95,-25.92972,-29.58041,-31.38854,-26.3302,-27.62943,-33.02957
11.96,-26.00758,-29.58795,-31.47697,-26.39724,-27.67128,-33.11549
11.97,-26.08616,-29.59579,-31.56476,-26.4647,-27.71314,-33.19957
11.98,-26.16544,-29.60393,-31.65188,-26.53257,-27.75502,-33.28177
11.99,-26.24542,-29.61238,-31.73829,-26.60083,-27.7969,-33.36206
12,-26.32607,-29.62114,-31.82396,-26.66948,-27.8388,-33.4404
12.01,-26.40739,-29.63022,-31.90884,-26.7385,-27.8807,-33.51677
12.02,-26.48937,-29.63961,-31.99292,-26.80789,-27.9226,-33.59114
12.03,-26.57199,-29.64931,-32.07615,-26.87763,-27.9645,-33.66349
12.04,-26.65526,-29.65933,-32.15851,-26.94771,-28.00639,-33.73379
12.05,-26.73914,-29.66966,-32.23997,-27.01813,-28.04827,-33.80203
12.06,-26.82365,-29.6803,-32.32051,-27.08886,-28.09014,-33.86819
12.07,-26.90875,-29.69125,-32.4001,-27.15991,-28.13199,-33.93226
12.08,-26.99444,-29.70251,-32.47871,-27.23126,-28.17381,-33.99422
12.09,-27.08072,-29.71408,-32.55633,-27.3029,-28.21562,-34.05409
12.1,-27.16756,-29.72594,-32.63294,-27.37482,-28.25739,-34.11184
12.11,-27.25496,-29.73811,-32.70851,-27.44701,-28.29913,-34.16748
12.12,-27.3429,-29.75057,-32.78304,-27.51946,-28.34083,-34.22102
12.13,-27.43138,-29.76332,-32.8565,-27.59216,-28.38249,-34.27246
12.14,-27.52038,-29.77635,-32.92888,-27.6651,-28.4241,-34.32182
12.15,-27.60989,-29.78967,-33.00018,-27.73827,-28.46566,-34.3691
12.16,-27.6999,-29.80327,-33.07038,-27.81165,-28.50716,-34.41432
12.17,-27.7904,-29.81713,-33.13948,-27.88525,-28.5486,-34.4575
12.18,-27.88138,-29.83127,-33.20746,-27.95904,-28.58998,-34.49866
12.19,-27.97283,-29.84566,-33.27433,-28.03303,-28.63128,-34.53783
12.2,-28.06473,-29.86032,-33.34008,-28.1072,-28.67251,-34.57504
12.21,-28.15708,-29.87522,-33.4047,-28.18153,-28.71367,-34.6103
12.22,-28.24986,-29.89037,-33.4682,-28.25603,-28.75473,-34.64367
12.23,-28.34306,-29.90575,-33.53058,-28.33069,-28.79571,-34.67516
12.24,-28.43668,-29.92137,-33.59184,-28.40548,-28.8366,-34.70482
12.25,-28.5307,-29.93721,-33.65199,-28.48041,-28.87739,-34.73268
12.26,-28.6251,-29.95328,-33.71102,-28.55546,-28.91808,-34.75879
12.27,-28.71989,-29.96956,-33.76895,-28.63064,-28.95866,-34.78318
12.28,-28.81505,-29.98605,-33.82578,-28.70592,-28.99913,-34.80589
12.29,-28.91058,-30.00273,-33.88153,-28.78129,-29.03948,-34.82698
12.3,-29.00645,-30.01962,-33.93619,-28.85676,-29.07972,-34.84648
12.31,-29.10266,-30.03669,-33.98979,-28.93232,-29.11983,-34.86444
12.32,-29.1992,-30.05395,-34.04234,-29.00795,-29.15981,-34.88091
12.33,-29.29606,-30.07138,-34.09384,-29.08364,-29.19965,-34.89593
12.34,-29.39324,-30.08899,-34.14431,-29.15939,-29.23936,-34.90955
12.35,-29.49071,-30.10675,-34.19377,-29.2352,-29.27893,-34.92182
12.36,-29.58848,-30.12468,-34.24223,-29.31105,-29.31835,-34.93278
12.37,-29.68654,-30.14276,-34.28971,-29.38694,-29.35762,-34.94248
12.38,-29.78486,-30.16098,-34.33622,-29.46285,-29.39674,-34.95097
12.39,-29.88346,-30.17934,-34.38178,-29.53879,-29.4357,-34.9583
12.4,-29.98231,-30.19783,-34.42641,-29.61475,-29.47449,-34.9645
12.41,-30.0814,-30.21646,-34.47012,-29.69071,-29.51312,-34.96964
12.42,-30.18074,-30.2352,-34.51294,-29.76668,-29.55158,-34.97375
12.43,-30.28031,-30.25406,-34.55489,-29.84264,-29.58987,-34.97687
12.44,-30.38011,-30.27303,-34.59597,-29.91859,-29.62798,-34.97906
12.45,-30.48011,-30.2921,-34.63622,-29.99453,-29.66591,-34.98034
12.46,-30.58033,-30.31127,-34.67566,-30.07044,-29.70366,-34.98078
12.47,-30.68075,-30.33053,-34.71429,-30.14633,-29.74122,-34.9804
12.48,-30.78136,-30.34988,-34.75215,-30.22218,-29.77858,-34.97925
12.49,-30.88216,-30.36931,-34.78925,-30.29799,-29.81576,-34.97736
12.5,-30.98313,-30.38882,-34.82561,-30.37375,-29.85274,-34.97478
12.51,-31.08428,-30.40839,-34.86126,-30.44947,-29.88952,-34.97154
12.52,-31.18558,-30.42804,-34.89621,-30.52513,-29.9261,-34.96768
12.53,-31.28705,-30.44774,-34.93048,-30.60073,-29.96247,-34.96323
12.54,-31.38867,-30.4675,-34.96409,-30.67627,-29.99863,-34.95823
12.55,-31.49043,-30.48731,-34.99707,-30.75174,-30.03459,-34.95271
12.56,-31.59233,-30.50717,-35.02943,-30.82713,-30.07033,-34.94669
12.57,-31.69437,-30.52706,-35.06119,-30.90244,-30.10585,-34.94022
12.58,-31.79653,-30.54699,-35.09237,-30.97767,-30.14116,-34.93332
12.59,-31.89881,-30.56696,-35.12299,-31.05281,-30.17625,-34.92601
12.6,-32.0012,-30.58695,-35.15306,-31.12787,-30.21112,-34.91833
12.61,-32.10371,-30.60696,-35.18262,-31.20282,-30.24576,-34.9103
12.62,-32.20631,-30.627,-35.21167,-31.27768,-30.28018,-34.90194
12.63,-32.30902,-30.64704,-35.24023,-31.35244,-30.31437,-34.89329
12.64,-32.41182,-30.6671,-35.26833,-31.42709,-30.34833,-34.88435
12.65,-32.51471,-30.68716,-35.29597,-31.50163,-30.38206,-34.87516
12.66,-32.61768,-30.70723,-35.32317,-31.57606,-30.41555,-34.86574
12.67,-32.72073,-30.72729,-35.34996,-31.65037,-30.44882,-34.8561
12.68,-32.82385,-30.74735,-35.37634,-31.72456,-30.48185,-34.84626
12.69,-32.92704,-30.7674,-35.40233,-31.79863,-30.51464,-34.83624
12.7,-33.0303,-30.78744,-35.42795,-31.87258,-30.54719,-34.82607
12.71,-33.13362,-30.80746,-35.45322,-31.9464,-30.57951,-34.81574
12.72,-33.23699,-30.82746,-35.47814,-32.02009,-30.61159,-34.80529
12.73,-33.34042,-30.84744,-35.50273,-32.09364,-30.64342,-34.79473
12.74,-33.4439,-30.86739,-35.52701,-32.16706,-30.67502,-34.78406
12.75,-33.54742,-30.88732,-35.55098,-32.24035,-30.70637,-34.7733
12.76,-33.65099,-30.90721,-35.57467,-32.31349,-30.73749,-34.76247
12.77,-33.75459,-30.92706,-35.59808,-32.38649,-30.76835,-34.75157
12.78,-33.85822,-30.94688,-35.62123,-32.45935,-30.79898,-34.74063
12.79,-33.96189,-30.96666,-35.64412,-32.53207,-30.82936,-34.72964
12.8,-34.06559,-30.98639,-35.66678,-32.60463,-30.8595,-34.71861
12.81,-34.16931,-31.00608,-35.6892,-32.67705,-30.88939,-34.70757
12.82,-34.27305,-31.02572,-35.71141,-32.74931,-30.91904,-34.69651
12.83,-34.37681,-31.0453,-35.73341,-32.82142,-30.94844,-34.68544
12.84,-34.48058,-31.06484,-35.75521,-32.89338,-30.9776,-34.67438
12.85,-34.58437,-31.08431,-35.77682,-32.96518,-31.00651,-34.66332
12.86,-34.68817,-31.10373,-35.79826,-33.03682,-31.03518,-34.65228
12.87,-34.79198,-31.12309,-35.81952,-33.10831,-31.0636,-34.64126
12.88,-34.89579,-31.14238,-35.84062,-33.17964,-31.09178,-34.63027
12.89,-34.99961,-31.16161,-35.86157,-33.2508,-31.11972,-34.61931
12.9,-35.10342,-31.18078,-35.88237,-33.3218,-31.14741,-34.60839
12.91,-35.20724,-31.19987,-35.90304,-33.39264,-31.17486,-34.59752
12.92,-35.31105,-31.2189,-35.92358,-33.46332,-31.20207,-34.58669
12.93,-35.41485,-31.23785,-35.94399,-33.53383,-31.22903,-34.57591
12.94,-35.51865,-31.25673,-35.96429,-33.60417,-31.25576,-34.56518
12.95,-35.62243,-31.27553,-35.98447,-33.67435,-31.28224,-34.55452
12.96,-35.72621,-31.29425,-36.00456,-33.74435,-31.30848,-34.54391
12.97,-35.82997,-31.3129,-36.02454,-33.81419,-31.33448,-34.53337
12.98,-35.93371,-31.33146,-36.04444,-33.88387,-31.36025,-34.5229
12.99,-36.03743,-31.34994,-36.06425,-33.95337,-31.38577,-34.51249
